keep_frac,pos_scale,label,cone_frac
0.9,0.16,ttbar_mtt_8tev_cms,1.0
0.9,0.16,z_pt_7tev_atlas,1.0
0.9,0.17,atlas_4l_m4l_8tev,1.0
0.9,0.17,atlas_4l_pt4l_8tev,1.0
0.9,0.17,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.17,dijet_chi_7tev_cms,1.0
0.9,0.17,hgg_pt_8tev_atlas,1.0
0.9,0.17,pTll_106_170,1.0
0.9,0.17,pTll_170_350,1.0
0.9,0.17,pTll_50_76,1.0
0.9,0.17,pTll_76_106,1.0
0.9,0.17,phistar_50_76,1.0
0.9,0.17,ptll_76_106_table,1.0
0.9,0.17,ttbar_mtt_8tev_cms,1.0
0.9,0.17,z_pt_7tev_atlas,1.0
0.9,0.18,atlas_4l_m4l_8tev,1.0
0.9,0.18,atlas_4l_pt4l_8tev,1.0
0.9,0.18,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.18,dijet_chi_7tev_cms,1.0
0.9,0.18,hgg_pt_8tev_atlas,1.0
0.9,0.18,pTll_106_170,1.0
0.9,0.18,pTll_170_350,1.0
0.9,0.18,pTll_50_76,1.0
0.9,0.18,pTll_76_106,1.0
0.9,0.18,phistar_50_76,1.0
0.9,0.18,ptll_76_106_table,1.0
0.9,0.18,ttbar_mtt_8tev_cms,1.0
0.9,0.18,z_pt_7tev_atlas,1.0
0.9,0.19,atlas_4l_m4l_8tev,1.0
0.9,0.19,atlas_4l_pt4l_8tev,1.0
0.9,0.19,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.19,dijet_chi_7tev_cms,1.0
0.9,0.19,hgg_pt_8tev_atlas,1.0
0.9,0.19,pTll_106_170,1.0
0.9,0.19,pTll_170_350,1.0
0.9,0.19,pTll_50_76,1.0
0.9,0.19,pTll_76_106,1.0
0.9,0.19,phistar_50_76,1.0
0.9,0.19,ptll_76_106_table,1.0
0.9,0.19,ttbar_mtt_8tev_cms,1.0
0.9,0.19,z_pt_7tev_atlas,1.0
0.9,0.2,atlas_4l_m4l_8tev,1.0
0.9,0.2,atlas_4l_pt4l_8tev,1.0
0.9,0.2,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.2,dijet_chi_7tev_cms,1.0
0.9,0.2,hgg_pt_8tev_atlas,1.0
0.9,0.2,pTll_106_170,1.0
0.9,0.2,pTll_170_350,1.0
0.9,0.2,pTll_50_76,1.0
0.9,0.2,pTll_76_106,1.0
0.9,0.2,phistar_50_76,1.0
0.9,0.2,ptll_76_106_table,1.0
0.9,0.2,ttbar_mtt_8tev_cms,1.0
0.9,0.2,z_pt_7tev_atlas,1.0
0.9,0.21,atlas_4l_m4l_8tev,1.0
0.9,0.21,atlas_4l_pt4l_8tev,1.0
0.9,0.21,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.21,dijet_chi_7tev_cms,1.0
0.9,0.21,hgg_pt_8tev_atlas,1.0
0.9,0.21,pTll_106_170,1.0
0.9,0.21,pTll_170_350,1.0
0.9,0.21,pTll_50_76,1.0
0.9,0.21,pTll_76_106,1.0
0.9,0.21,phistar_50_76,1.0
0.9,0.21,ptll_76_106_table,0.875
0.9,0.21,ttbar_mtt_8tev_cms,1.0
0.9,0.21,z_pt_7tev_atlas,1.0
0.9,0.22,atlas_4l_m4l_8tev,1.0
0.9,0.22,atlas_4l_pt4l_8tev,1.0
0.9,0.22,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.22,dijet_chi_7tev_cms,1.0
0.9,0.22,hgg_pt_8tev_atlas,1.0
0.9,0.22,pTll_106_170,1.0
0.9,0.22,pTll_170_350,1.0
0.9,0.22,pTll_50_76,1.0
0.9,0.22,pTll_76_106,1.0
0.9,0.22,phistar_50_76,1.0
0.9,0.22,ptll_76_106_table,0.875
0.9,0.22,ttbar_mtt_8tev_cms,1.0
0.9,0.22,z_pt_7tev_atlas,1.0
0.9,0.23,atlas_4l_m4l_8tev,1.0
0.9,0.23,atlas_4l_pt4l_8tev,1.0
0.9,0.23,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.23,dijet_chi_7tev_cms,1.0
0.9,0.23,hgg_pt_8tev_atlas,1.0
0.9,0.23,pTll_106_170,1.0
0.9,0.23,pTll_170_350,1.0
0.9,0.23,pTll_50_76,1.0
0.9,0.23,pTll_76_106,1.0
0.9,0.23,phistar_50_76,1.0
0.9,0.23,ptll_76_106_table,0.625
0.9,0.23,ttbar_mtt_8tev_cms,1.0
0.9,0.23,z_pt_7tev_atlas,1.0
0.9,0.24,atlas_4l_m4l_8tev,1.0
0.9,0.24,atlas_4l_pt4l_8tev,1.0
0.9,0.24,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.24,dijet_chi_7tev_cms,1.0
0.9,0.24,hgg_pt_8tev_atlas,1.0
0.9,0.24,pTll_106_170,1.0
0.9,0.24,pTll_170_350,1.0
0.9,0.24,pTll_50_76,1.0
0.9,0.24,pTll_76_106,1.0
0.9,0.24,phistar_50_76,1.0
0.9,0.24,ptll_76_106_table,0.625
0.9,0.24,ttbar_mtt_8tev_cms,1.0
0.9,0.24,z_pt_7tev_atlas,1.0
0.9,0.25,atlas_4l_m4l_8tev,1.0
0.9,0.25,atlas_4l_pt4l_8tev,1.0
0.9,0.25,dijet_chi_13tev_cms_mgt6,1.0
0.9,0.25,dijet_chi_7tev_cms,1.0
0.9,0.25,hgg_pt_8tev_atlas,1.0
0.9,0.25,pTll_106_170,1.0
0.9,0.25,pTll_170_350,1.0
0.9,0.25,pTll_50_76,1.0
0.9,0.25,pTll_76_106,1.0
0.9,0.25,phistar_50_76,1.0
0.9,0.25,ptll_76_106_table,0.625
0.9,0.25,ttbar_mtt_8tev_cms,1.0
0.9,0.25,z_pt_7tev_atlas,1.0
0.9,0.26,atlas_4l_m4l_8tev,1.0
