label,p,q,z,mask,descent_frac,max_violation,first_violation_iter
pTll_50_76,2,1,1,-0++,0.0,29.396939740305296,1
pTll_50_76,2,1,1,-+0+,0.0,23.003344175559146,1
pTll_50_76,2,1,1,-++0,0.16666666666666666,4.993527497002445,3
pTll_50_76,2,1,1,0-++,0.0,24.403412243301847,1
pTll_50_76,2,1,1,0+-+,0.0,22.99824734119853,1
pTll_50_76,2,1,1,0++-,1.0,-1.0005283945410692,-1
pTll_50_76,2,1,1,+-0+,0.0,22.996655824438857,1
pTll_50_76,2,1,1,+-+0,0.8333333333333334,0.006566181960353834,1
pTll_50_76,2,1,1,+0-+,0.0,22.9949031656384,1
pTll_50_76,2,1,1,+0+-,1.0,-0.99395569275819,-1
pTll_50_76,2,1,1,++-0,0.75,0.005535472166323973,1
pTll_50_76,2,1,1,++0-,1.0,-0.9944710476552013,-1
pTll_50_76,1,2,1,--0+,0.0,36.80035198360814,1
pTll_50_76,1,2,1,--+0,0.25,19.800351983608135,4
pTll_50_76,1,2,1,-0-+,0.0,29.396939740305296,1
pTll_50_76,1,2,1,-0+-,1.0,-1.0060573468868679,-1
pTll_50_76,1,2,1,-+-0,0.16666666666666666,4.993527497002445,3
pTll_50_76,1,2,1,-+0-,1.0,-1.006572701783881,-1
pTll_50_76,1,2,1,0--+,0.0,24.403412243301847,1
pTll_50_76,1,2,1,0-+-,1.0,-0.999484645103985,-1
pTll_50_76,1,2,1,0+--,1.0,-1.000515354898015,-1
pTll_50_76,1,2,1,+--0,0.8333333333333334,0.006579221603408047,1
pTll_50_76,1,2,1,+-0-,1.0,-0.993427298218119,-1
pTll_50_76,1,2,1,+0--,1.0,-0.9939426531151322,-1
pTll_50_76,2,0,2,00++,0.0,22.999999999999,1
pTll_50_76,2,0,2,0+0+,0.0,22.99824734119853,1
pTll_50_76,2,0,2,0++0,0.5833333333333334,0.3494569583546917,3
pTll_50_76,2,0,2,+00+,0.0,22.9949031656384,1
pTll_50_76,2,0,2,+0+0,0.8333333333333334,0.00604430724181002,1
pTll_50_76,2,0,2,++00,0.75,0.005528952344798643,1
pTll_50_76,0,2,2,--00,0.25,19.800351983608135,4
pTll_50_76,0,2,2,-0-0,0.16666666666666666,12.39693974030529,3
pTll_50_76,0,2,2,-00-,1.0,-1.006050827065339,-1
pTll_50_76,0,2,2,0--0,0.4166666666666667,7.403412243301846,1
pTll_50_76,0,2,2,0-0-,1.0,-0.9994781252824579,-1
pTll_50_76,0,2,2,00--,1.0,-0.9999934801794729,-1
pTll_50_76,1,1,2,-00+,0.0,29.396939740305296,1
pTll_50_76,1,1,2,-0+0,0.16666666666666666,12.39693974030529,3
pTll_50_76,1,1,2,-+00,0.16666666666666666,4.993527497002445,3
pTll_50_76,1,1,2,0-0+,0.0,24.403412243301847,1
pTll_50_76,1,1,2,0-+0,0.4166666666666667,7.403412243301846,1
pTll_50_76,1,1,2,00-+,0.0,22.999999999999,1
pTll_50_76,1,1,2,00+-,1.0,-1.0000065198225272,-1
pTll_50_76,1,1,2,0+-0,0.5833333333333334,0.3494569583546917,3
pTll_50_76,1,1,2,0+0-,1.0,-1.0005218747195421,-1
pTll_50_76,1,1,2,+-00,0.8333333333333334,0.0065727017818809404,1
pTll_50_76,1,1,2,+0-0,0.8333333333333334,0.006057346884867787,1
pTll_50_76,1,1,2,+00-,1.0,-0.9939491729366611,-1
pTll_76_106,3,1,0,-+++,0.08333333333333333,22.8179908294541,1
pTll_76_106,3,1,0,+-++,0.0,41.82767929145524,1
pTll_76_106,3,1,0,++-+,0.08333333333333333,22.800313894848497,1
pTll_76_106,3,1,0,+++-,1.0,-0.9637061287873027,-1
pTll_76_106,1,3,0,---+,0.0,41.501297893628106,1
pTll_76_106,1,3,0,--+-,0.9166666666666666,3.5012978936281005,10
pTll_76_106,1,3,0,-+--,1.0,-0.9603703019918032,-1
pTll_76_106,1,3,0,+---,0.9166666666666666,3.827679291455235,10
pTll_76_106,2,2,0,--++,0.0,41.501297893628106,1
pTll_76_106,2,2,0,-+-+,0.08333333333333333,22.8179908294541,1
pTll_76_106,2,2,0,-++-,1.0,-0.9611798929559984,-1
pTll_76_106,2,2,0,+--+,0.0,41.82767929145524,1
pTll_76_106,2,2,0,+-+-,0.9166666666666666,3.827679291455235,10
pTll_76_106,2,2,0,++--,1.0,-0.9628965378231075,-1
pTll_76_106,4,0,0,++++,0.08333333333333333,22.800313894848497,1
pTll_76_106,0,4,0,----,0.9166666666666666,3.5012978936281005,10
pTll_76_106,3,0,1,0+++,0.08333333333333333,22.80915236215129,1
pTll_76_106,3,0,1,+0++,0.0,22.991161532696193,1
pTll_76_106,3,0,1,++0+,0.08333333333333333,22.800313894848497,1
