bin,L0,L1,L2,L3,L4,L5,L6,L7,L8,L9
7.600000000000000000e+01,7.018859201251994584e-01,9.273465372900533410e-01,-7.263130003500928300e-01,6.798823110661464941e-01,5.354035942379894442e-01,4.547263350103782353e-01,0.000000000000000000e+00,-8.623217853137612465e-01,9.999092042625951082e-01,9.510617081489567415e-01
7.700000000000000000e+01,7.055036146056228308e-01,6.158635568095984780e-01,-5.794746699838106974e-01,6.921591574267154101e-01,3.613761696634815723e-01,4.843981585288043012e-01,0.000000000000000000e+00,-8.623217853137612465e-01,9.279715581686113213e-01,9.628077571779493082e-01
7.800000000000000000e+01,7.035881563995389776e-01,4.728491284925558924e-01,-5.920109105758404322e-01,6.856921827271531544e-01,3.753265892497026912e-01,4.687826655238409024e-01,0.000000000000000000e+00,-8.623217853137612465e-01,-1.083706096247707001e-01,9.522624185678174591e-01
7.900000000000000000e+01,6.992531802688469744e-01,3.945371613418245937e-01,-6.455840818250856428e-01,6.707810580404136580e-01,4.366885003129720166e-01,4.326682685416965435e-01,0.000000000000000000e+00,-8.623217853137612465e-01,-3.749975052816926779e-01,9.459677643027830651e-01
8.000000000000000000e+01,6.934770140013881701e-01,3.335618273236022335e-01,-7.123829001542054673e-01,6.503280398351672931e-01,5.177569628214881980e-01,3.830226499539739482e-01,0.000000000000000000e+00,-8.623217853137612465e-01,-4.975771187606016221e-01,9.357026474126453053e-01
8.100000000000000000e+01,6.861756239794460921e-01,3.110278587640181724e-01,-7.752450684734892850e-01,6.235429975187836149e-01,5.997800802361638040e-01,3.181515282612736861e-01,0.000000000000000000e+00,-8.623217853137612465e-01,-5.923216466342713371e-01,9.275367804076456446e-01
8.200000000000000000e+01,6.791572048731658873e-01,3.616141551110845787e-01,-8.238038498573245771e-01,5.968504194370397586e-01,6.680133355092724434e-01,2.540699430320684238e-01,0.000000000000000000e+00,-8.623217853137612465e-01,-5.540228023139264213e-01,9.166077028945923688e-01
8.300000000000000000e+01,6.739776707002818057e-01,3.630853355035742469e-01,-8.618152069806331861e-01,5.765812530865899177e-01,7.252483861248706365e-01,2.060219204017154915e-01,0.000000000000000000e+00,-8.623217853137612465e-01,-5.128034954646322197e-01,9.023294841637125030e-01
8.400000000000000000e+01,6.668125548172578743e-01,2.847820328457174588e-01,-8.944433912052685010e-01,5.477814247858272534e-01,7.778381039105938255e-01,1.389684072227125589e-01,0.000000000000000000e+00,-8.623217853137612465e-01,-5.661412929057643151e-01,8.801392655231781159e-01
8.500000000000000000e+01,6.576778267278458046e-01,3.185103572259257443e-01,-9.200486464610295734e-01,5.098636604093287339e-01,8.220268466505774585e-01,5.338073244607764722e-02,0.000000000000000000e+00,-8.623217853137612465e-01,-6.101955325678978248e-01,8.558295943228808600e-01
8.600000000000000000e+01,6.518700959129168915e-01,2.674692418007925676e-01,-9.428164808065925273e-01,4.851076781725559006e-01,8.642112962038422941e-01,-5.787528714658501982e-04,0.000000000000000000e+00,-8.623217853137612465e-01,-4.829116545997423904e-01,8.380429381663394572e-01
